"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",8.33432911707777,4.69709648938523,134.068435640485,0,0,1015.79338970237
"AC009065.4",6.22480299849466,3.02554886204745,115.412264568191,0,0,930.730096840449
"HMGN1P37",4.62326801288019,2.33513923495393,100.005396012086,0,0,850.089407555465
"CDH3",7.70907946275404,7.46867367658054,93.4633128541262,0,0,812.160741791852
"EIF5AP4",5.84903673094056,3.52692976557268,87.607837514966,0,0,776.509232985201
"RP11-64K7.1",4.21159540264004,2.20586443536998,86.6576559113761,0,0,770.534705005061
"HMGN1P36",3.84436986449121,2.01966037813428,76.0904770614942,7.02288243443473e-310,4.99567725628918e-306,699.607748618299
"ETV4",6.83496027854572,8.07359006161287,74.3705621089123,1.94602713115444e-304,1.2112559371088e-300,687.13571224463
"KRT80",6.9507538792281,6.52824726410224,71.5891302204596,1.5578406206803e-295,8.6190128740172e-292,666.727313179386
"UBE2SP2",6.02888117664811,3.86992174055637,70.5718491840659,3.29246281101278e-292,1.63944893211571e-288,659.103694257004
"HNRNPCP2",4.13620093366829,6.27325707884374,69.3609047104418,2.89690927626386e-288,1.31135182274803e-284,650.058752359829
"HNRNPA1P4",4.32446220173126,2.60079787159037,66.9744746130027,3.37016403370422e-280,1.39844956578557e-276,631.558226654938
"GRIN2D",6.05801043304866,6.7451656428714,66.5055404576067,1.56273892294002e-278,5.9857709176058e-275,627.735469264128
"CLDN1",6.30521153042645,8.16824855496309,64.8321660544375,1.0202836996267e-272,3.62885760994372e-269,614.393583049557
"YWHAZP4",4.36780912322542,3.77714865238608,63.2167432847063,5.02778207357366e-267,1.66902253714351e-263,601.329428023989
"RPL37P6",4.5444386339004,2.52293847296024,63.1888557750848,6.75887679080446e-267,2.10344694325823e-263,601.034456159625
"PDX1",7.54211614806185,4.982916626164,62.5077880025039,1.88539767965473e-264,5.52244070945457e-261,595.421359585017
"RP11-204C16.4",4.21147505618236,3.55958650405785,62.29663082659,9.96846970090394e-264,2.75761100159339e-260,593.76134398299
"ESM1",6.1286713992743,4.76836992449117,61.9634425786476,1.75438653103554e-262,4.59778541717808e-259,590.902324111917
"OLA1P1",3.93898113364196,3.98519199425782,61.7311968047812,1.08023435387557e-261,2.68945947084401e-258,589.090322961592
"EEF1A1P12",3.94295180997907,4.71617968662074,61.2227910023704,7.75153721781641e-260,1.83800021059024e-256,584.829950248836
"CCAT1",6.92227075164818,4.55640378353874,60.4172754638582,8.04811647220486e-257,1.82158141644077e-253,577.905090781063
"EEF1A1P9",4.02529107456294,4.65973974078067,60.2645035065395,2.69344362802553e-256,5.83118834843058e-253,576.700647938879
"CEMIP",6.19216105664846,8.76780880075695,60.0809566945287,1.41582341065624e-255,2.93747962125903e-252,575.045921721289
"RP11-10G12.1",3.59498407296035,1.90382026322935,60.0594220653296,1.50817701698392e-255,3.00392665534789e-252,574.982941990314
"AC000089.3",4.03348226559032,4.37914922037782,59.488069349954,2.10820073621202e-253,4.03752874842082e-250,570.056820256283
"RPS2P55",4.55007584042728,5.30155913418674,59.1723343386405,3.47166435956599e-252,6.40252056000847e-249,567.263222184263
"CST1",8.4798862237873,4.39462468577879,58.1493522622011,2.5181917639938e-248,4.4782443105824e-245,558.398065587421
"CTD-2510F5.4",3.73175585081249,2.33904465641194,57.895383478624,2.11432516740314e-247,3.63036922019558e-244,556.275897950602
"HMGN2P17",3.38634220973376,1.67946383763882,57.1862725953116,1.07207073398743e-244,1.77942300427234e-241,550.063412745984
"CKS1BP3",4.07210538680433,2.38706767043055,57.0471919243679,4.11146040718806e-244,6.60406643598459e-241,548.722672584351
"MMP7",8.30556132502107,5.52725864397076,56.1338559747357,1.40584481550738e-240,2.18758239823045e-237,540.605740291157
"VWA2",5.7726398951613,6.01019098035233,55.8677141684591,1.53143999096706e-239,2.31080372455193e-236,538.223389180165
"YWHAZP2",3.41058625182344,2.14835791813312,55.7199507006006,5.18922034533213e-239,7.59976581986671e-236,537.005907424061
"RP3-525N10.2",-6.02213044809191,3.92906918528139,-55.6336116612742,1.25945242683961e-238,1.79180497548719e-235,536.121402905126
"YWHAZP6",3.02699450054296,1.6880473726861,54.4940138860749,3.51882887318631e-234,4.86712680309553e-231,525.907467631109
"ADHFE1",-5.55490565796252,6.8205181934117,-54.4923497138613,3.97008691624136e-234,5.34287859208979e-231,525.787149647933
"YWHAZP5",4.1533587982431,4.10504509664368,54.4433740697517,6.2123590543974e-234,8.14047912512273e-231,525.340416657186
"ELFN1-AS1",6.38080321495162,4.16282365537719,54.4042219144287,8.88777068941062e-234,1.13476321463721e-230,524.983095196242
"SULT2B1",5.58046357636094,6.34028662801899,53.4040013481416,8.86395308905706e-230,1.10342920029127e-226,515.795904837478
"VDAC1P2",3.30699649237813,1.94523755376854,52.7746102192358,2.83675926400748e-227,3.44520953151191e-224,510.039782001994
"RP11-464D20.2",3.78353670358287,4.10164648245836,52.7517622591696,3.76123437835259e-227,4.45921201513545e-224,509.758355836657
"RPL12P38",3.53867632686376,2.22958875019165,52.7323925490721,4.39339955374974e-227,5.0875566832422e-224,509.603304750112
"CORO6",-6.34783586791925,7.67536002382166,-52.692437389059,6.64327149898461e-227,7.51806956864635e-224,509.190712767888
"AL158801.1",4.11021577435955,3.50016250511748,52.4606694810288,5.8098334245217e-226,6.42877434534741e-223,507.026728706669
"MAMDC2",-6.98496890026155,7.83119651306565,-51.9287751836633,8.62289896518838e-224,9.33410067549109e-221,502.037000748176
"FOXQ1",6.16742792879604,5.5495915616642,51.6287056412541,1.46884498714885e-222,1.5561631338317e-219,499.207515419627
"RP11-550F7.1",3.22519862765878,2.27914497048956,51.5308745732631,3.36707858086507e-222,3.4929231428249e-219,498.37950456989
"RP11-215A21.2",4.05164053111812,3.53502327237309,51.4306224594818,9.60046470059225e-222,9.75603141431205e-219,497.333938859723
"AC005255.3",3.11554840236474,1.84633418158432,51.277643834511,3.72803639324382e-221,3.71267688330366e-218,495.979869281177
