"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NDUFV2",0.403076574741975,11.1876692552567,15.849840749685,8.93151966162901e-51,2.91038603514924e-50,103.550391005889
"ZNF768",0.431489535650073,10.8080572715759,15.8485766718464,9.07959309983953e-51,2.95844299707767e-50,103.534004481931
"LINC00645",1.71912733130391,1.10289653582713,15.8485496021354,9.09144900585942e-51,2.96211222795108e-50,103.532716970203
"ANKEF1",-1.24364134801665,6.43373766996236,-15.8482027624924,9.1318444748746e-51,2.97507893078975e-50,103.528297696425
"LEMD2",-0.352974951902805,11.204370108072,-15.8465250822612,9.30910010870555e-51,3.03262892255731e-50,103.509103532073
"AP001058.3",0.851495388666961,0.552884881435417,15.846378260073,9.34730448420773e-51,3.04487556906084e-50,103.505051678373
"RP13-188A5.1",-0.967842516231524,4.10970934450811,-15.8446883278397,9.54843719483659e-51,3.11019089212856e-50,103.483825758615
"AC079776.2",-1.10396434331817,1.07977719053064,-15.8437903322644,9.66164061930595e-51,3.14685853609184e-50,103.472081628966
"AXL",-1.15011061426736,10.6501803697904,-15.8437017098302,9.67258956402106e-51,3.15021861960144e-50,103.470952642184
"ARPP19",0.500460122838598,12.1050124795437,15.8435126764106,9.6959852355085e-51,3.15763171234081e-50,103.468544503669
"AF196972.4",-0.785347897882722,0.680941893014634,-15.8423670626407,9.83898380899768e-51,3.2039916276583e-50,103.453950649667
"AP000354.2",0.595981689574598,0.368013528033008,15.840070433237,1.01320190568605e-50,3.29920060762041e-50,103.424696056854
"RP11-204P2.3",-0.540307458552353,0.304939772618032,-15.8399809964813,1.0143604985738e-50,3.30275725272896e-50,103.423556858571
"C2CD4A",-1.38324941826198,2.05243738944067,-15.8378717328574,1.04207080676075e-50,3.39276015116026e-50,103.396691301478
"STOML1",0.514725362555488,9.11851044166088,15.8373250828039,1.0476381033185e-50,3.41066307398766e-50,103.391357067994
"AC004540.4",1.18974605419619,2.55006448253554,15.8367052214802,1.05771857231901e-50,3.44325566096057e-50,103.381834452705
"RP11-1348G14.6",-0.98678102931038,0.97075600467291,-15.8356669674896,1.07184280746484e-50,3.48900704418542e-50,103.368611666399
"PTPRU",-1.38871965567006,9.92519671305021,-15.8355103115049,1.0739901952634e-50,3.49576858301383e-50,103.366616604322
"ZNF85",0.837114700921209,6.44873318858147,15.8334681726878,1.10237871717138e-50,3.58793684834509e-50,103.340610435654
"RP5-1195D24.1",0.906577025766415,0.431721320511305,15.8315650317841,1.1295080372139e-50,3.67599498072084e-50,103.316376206952
"CSNK1A1P1",-0.96085652027365,1.17381680742375,-15.8312976463004,1.13337258247853e-50,3.68833111377923e-50,103.312971513581
