Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
SLC7A5,9.716452,9.6366,10.975334,11.0269
IGHV3-74,5.168164,4.9069,6.338525,6.3219
FTH1P20,6.020518,6.0618,4.611485,4.6594
ADGRF2,0.140912,0.0,0.181025,0.0
CLPS,2.677962,2.0,0.0,0.0
IL2RA,5.960644,5.9307,6.523874,6.2479
VSIG10L,4.91216,5.0,5.605973,5.7004
FLJ36000,0.065059,0.0,0.025409,0.0
CMAHP,7.09471,7.0875,10.503138,10.5689
NES,3.725234,3.585,2.643646,2.585
RP11-1055B8.3,0.146187,0.0,1.280898,1.0
FAM225A,4.004232,3.9136,5.991129,6.1751
FGFR2,2.530228,2.585,2.265418,2.0
GATA3,6.84658,6.9307,6.09298,6.2479
EFHC2,5.14768,5.1699,6.265603,6.5392
PRND,0.378588,0.0,0.924401,0.0
GPR12,0.610853,0.0,3.60758,3.1699
KRTAP3-1,0.29767,0.0,0.00578,0.0
CDKN2A,3.687389,3.7004,5.946729,6.1241
TNFSF4,5.490677,5.5546,8.695042,8.7482
PID1,6.266915,6.375,4.157673,4.0875
LINC00162,0.068463,0.0,0.055405,0.0
ONECUT2,0.753981,0.0,2.479542,2.0
C4orf48,5.561884,5.6439,4.696913,4.8074
FLG2,3.100603,3.3219,2.202345,2.0
TLR8,10.969403,11.5023,8.06998,8.4221
SGOL1,3.789842,3.8022,8.299783,8.323
SELL,15.376125,15.4429,12.801602,13.0527
B4GALNT2,0.294716,0.0,1.786063,2.0
C1orf210,0.636978,0.0,0.907987,1.0
USP51,2.176379,2.3219,6.724215,6.7682
KRT17,2.862437,3.0,3.640127,3.7004
HILS1,0.215896,0.0,0.496943,0.0
CCDC129,0.092493,0.0,0.189779,0.0
RP11-481J2.2,0.641762,0.0,0.612217,0.0
AATBC,6.328537,6.4429,8.40893,8.3663
BNC1,0.761077,0.0,0.479869,0.0
RP11-385D13.1,0.416718,0.0,3.604034,3.717
HOXD13,0.071721,0.0,0.127225,0.0
BCL11B,7.99269,8.1447,7.884137,7.7944
CPN1,0.342439,0.0,0.043844,0.0
C10orf99,0.556869,0.0,0.023121,0.0
RP11-11N9.4,2.523047,2.585,4.115665,4.585
PHF2P2,1.156807,1.0,0.522417,0.0
AC096559.1,0.232139,0.0,1.043613,0.0
SNX10,9.624223,9.8626,9.920736,10.0098
AC006116.20,1.00601,1.0,4.957368,5.0444
OXGR1,0.790553,0.0,0.936104,0.0
HIST1H2AG,4.72835,4.858,6.45818,6.5999
C2orf40,2.161925,2.0,1.487465,1.585
RP11-1055B8.2,0.011869,0.0,0.212666,0.0
RP1-68D18.4,3.021999,3.1699,5.819232,5.8329
NDNF,1.287158,1.0,0.74946,0.0
TYR,0.083591,0.0,0.023121,0.0
LINC00920,2.71297,2.8074,4.425926,4.3923
COL17A1,6.22965,6.1898,3.720891,3.585
NKAIN4,0.407224,0.0,0.372303,0.0
TMEM132C,1.418653,1.0,2.21981,2.0
CD2,9.614989,9.7296,7.833439,7.7279
LINC01133,1.035277,1.0,3.31795,3.1699
CCL4,9.359978,9.1992,6.451305,6.3212
WNT7B,0.550316,0.0,2.042197,0.0
TRPM8,0.769264,0.0,0.620791,0.0
LCE3D,0.196678,0.0,0.011561,0.0
GBX2,0.052685,0.0,0.011561,0.0
AC144831.1,5.717503,5.7814,4.673446,4.7549
GZMB,10.109811,10.23,5.965758,5.9542
ABCA12,0.600039,0.0,2.156854,2.3219
IGLV1-47,6.109192,5.915,6.717075,6.6724
PLEKHA7,4.417204,4.3219,5.971731,5.8826
DSG4,0.110801,0.0,0.034682,0.0
ADGRD1,4.024958,3.9069,4.631895,5.0
SH2D2A,8.96908,8.7108,6.039097,6.0
RP11-66B24.1,0.043405,0.0,0.572663,0.0
LCN2,11.575537,11.5343,3.872616,3.585
TNFSF13B,10.460465,10.5962,11.2087,11.2101
LINC01531,2.369514,2.3219,0.612473,0.0
LINC00888,3.758787,3.8074,6.843727,6.9189
HAND2,1.40025,1.585,0.020723,0.0
ALS2CR11,0.54142,0.0,4.714246,4.7004
BANCR,0.020772,0.0,0.0,0.0
C2,6.558952,6.5357,6.614834,6.0444
FOXP4-AS1,0.152122,0.0,1.145194,1.0
GPLD1,2.749686,2.8074,5.757361,5.9269
ALOX12,6.935487,7.015,5.692617,5.5122
APOB,2.388327,2.3219,1.971795,1.585
POU2AF1,8.342733,8.4798,7.657831,7.6294
AP1M2,3.982734,3.9069,0.821612,1.0
TNXB,6.950082,6.8434,7.311606,7.092
PPL,5.469479,5.3923,6.172889,6.1699
SLC23A1,2.814234,3.0,6.344906,6.3219
C19orf38,11.344512,11.3326,8.196536,8.3487
CTD-2540B15.11,6.838015,6.9853,6.538023,6.9939
RP4-568C11.4,8.229422,8.4051,1.907297,1.585
USP41,0.643235,0.0,4.738784,4.8293
WFIKKN1,5.010524,5.0875,5.882763,5.858
DLX1,0.452623,0.0,2.022724,2.0
C6orf25,8.68203,8.6689,8.481734,8.1189
SLC44A5,1.362201,1.0,2.794195,2.0
GJB5,1.421828,1.585,1.55479,1.585
IRX2,0.661112,0.0,0.651061,0.0
