Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
HNRNPU-AS1,11.668355,11.70985,9.473187,9.5873
DIO3OS,11.344263,11.3918,7.303898,7.4423
IL1RL1,7.480922,7.3923,4.743193,4.6439
CELF6,8.978751,9.0307,6.355352,6.4899
OR51A9P,0.990152,1.0,4.795554,5.0
GABBR1,12.543311,12.54,10.328849,10.4357
PRSS50,7.464684,7.4215,3.621241,3.585
MEG3,13.302875,13.29355,9.075476,9.1007
AC005538.3,3.505613,4.22535,6.869363,7.507
KIF20A,3.673573,3.5222,7.126527,7.0768
RP11-361L15.5,6.529134,6.6701,3.4871,3.5546
AHSA2,12.952418,13.00695,10.948009,11.0622
FAM153C,8.072126,8.30735,5.197453,5.272
CYP3A5,10.825423,11.0512,7.155926,7.1189
TNFRSF25,9.571513,9.63025,7.068084,7.086628
RPS24P8,1.87797,1.8813,4.931133,4.9373
PRAC1,8.053518,8.6348,12.017412,12.1759
RP11-347C12.1,8.282757,8.3583,5.25777,5.3712
COL10A1,3.107664,2.8074,7.293617,7.4676
FAM65C,9.14157,9.16355,5.740184,5.7814
NPAS4,6.469758,6.4665,3.345767,3.4594
HIST3H2A,7.180052,7.27145,10.590486,10.7125
RP11-61N20.3,3.679821,3.90155,8.033327,8.2001
GH1,3.831882,3.7539,0.635973,0.0
COL5A3,11.170453,11.04965,8.239151,8.29
RP11-223I10.1,1.906183,1.585,4.848331,4.9542
TMEFF2,9.082383,9.12795,12.964096,13.5121
NKX2-3,0.820047,0.0,5.459156,5.8074
AC073133.1,2.384062,2.3219,5.473239,5.4919
NAP1L1P1,1.381434,1.585,4.479065,4.5267
CCDC108,3.325611,3.4594,6.957078,6.9307
GNG13,0.830713,1.0,4.442165,4.3923
RP11-844P9.2,5.725489,5.7775,2.262334,2.0
CTD-2595P9.4,5.339307,5.33975,2.353619,2.3219
REG1B,4.144551,4.4915,0.457489,0.0
GOLGA8A,13.305027,13.39575,10.249725,10.3742
RAB19,2.095643,2.3219,5.318432,5.4594
TLCD1,6.310052,6.4593,9.669335,9.6795
ADRB3,4.399139,4.2811,1.466918,1.0
RP11-861E21.2,7.170322,7.36815,4.250997,4.2698
RP11-73M7.6,4.594897,4.6439,1.500262,1.585
MEIS1,11.742378,11.78435,9.387529,9.5718
ILDR1,6.411526,6.83285,10.0635,10.0914
RP11-736N17.10,5.511515,5.5543,1.743245,2.0
FOXD1-AS1,1.196452,0.98915,4.28259,4.7164
PLA2G7,7.072396,7.19475,11.1296,11.3043
RP1-244F24.1,6.133174,6.2479,3.073321,3.0
ADAM33,13.130129,13.06465,8.472039,8.6257
TRGVB,1.007726,0.0,4.292459,4.5236
BIVM-ERCC5,1.568119,0.0,4.888996,6.2564
RP1-18D14.7,5.194769,5.20775,2.222656,2.3219
CLDN8,6.787033,7.1186,11.100199,11.1984
RP11-64C12.1,4.643832,4.85715,1.246838,1.0
RP11-667K14.4,0.448054,0.0,5.657765,5.9547
LY6G5B,9.754416,9.83865,7.002566,7.1205
BIRC5,4.841402,4.78115,8.061286,7.9484
AP000696.2,2.685469,2.585,6.673198,6.7682
CTD-2020K17.1,7.639768,7.6311,4.795066,4.9069
SPEG,12.810726,12.8396,9.889792,10.007062
CTC-512J14.5,1.496327,1.6599,4.721567,4.8094
CDH19,8.285057,8.37895,5.379991,5.7279
PRM2,3.849588,3.9972,0.033317,0.0
COL2A1,3.236079,3.0,7.73621,7.4594
PCAT18,5.316272,5.3144,9.308605,9.9553
C15orf48,5.876725,5.59985,9.904776,9.683
RPL7P16,6.998744,7.1189,10.984069,11.363
TRGC2,7.949621,7.80565,11.557744,11.5639
MROH7,9.669438,9.6855,6.084215,6.1735
PGA3,6.449987,7.0768,1.664202,1.4594
ELOVL2,6.718128,6.7748,10.115275,10.2703
AP000275.65,3.719392,3.75005,6.902901,7.1515
GMNC,2.269292,2.3219,5.605747,5.6147
COL7A1,13.434757,13.6353,10.645882,10.6724
AP006748.1,0.315688,0.0,4.128741,4.4594
LCNL1,8.878616,9.0901,4.180531,4.1811
HIST1H2AM,1.534469,1.585,4.49251,4.5236
CLPS,4.466943,5.0444,0.07563,0.0
RP11-1012A1.4,1.309047,1.3646,4.487085,4.6188
ONECUT2,3.511629,3.39065,7.874028,7.9189
RP11-279F6.2,3.185019,3.39065,6.763492,6.8095
GLYATL1P4,1.773758,1.9379,4.808765,4.8639
AC144530.1,1.833406,2.0018,5.399742,5.4683
TRGV9,3.863477,3.97085,8.88392,9.1203
TRGC1,10.31076,10.3684,14.839032,15.1045
CELA2A,3.944488,4.19085,0.244309,0.0
GOLM1,11.324932,11.2509,15.814212,15.8863
RP11-128M1.1,2.098372,2.0,5.333869,5.3923
AGR3,3.07625,3.0,7.142137,6.9542
CPLX3,11.298017,11.919,8.49576,8.7147
TRPM8,9.722846,10.1046,14.153833,14.4588
RP11-370I10.12,5.850064,5.99985,2.503777,2.585
RP11-867G23.1,4.350183,4.42585,1.382287,1.585
ANKRD34B,1.554907,1.585,5.596414,5.2095
HOXC6,5.005315,4.8074,8.957121,9.13
HAND2,6.607577,6.8887,3.524834,3.585
FOXP4-AS1,2.35575,2.3219,5.529919,5.585
RPL13AP3,0.28925,0.0,3.611081,3.5862
RPL13AP20,2.457324,2.3363,5.580544,5.5154
MROH7-TTC4,8.347856,8.44435,4.064654,4.5021
ISX,2.958501,3.1699,6.648504,6.585
ERVMER34-1,3.777444,3.8074,6.996889,7.0
DLX1,3.207556,3.2459,9.464484,10.2252
HMGN2P17,0.07585,0.0,3.516301,3.585
LINC00893,9.544372,9.5864,6.99267,7.2494
SMKR1,3.238446,3.1699,6.532639,6.4919
SFRP5,7.111322,7.3308,3.733234,3.8074
AMY2B,10.842971,10.7301,8.199285,8.2169
RP11-152H18.3,8.647603,8.8165,5.452512,6.1438
SLC6A11,4.654917,4.8327,8.164921,8.3309
RP5-966M1.6,9.027599,9.05375,6.048148,6.2201
CELA3A,5.125303,5.71255,0.451573,0.0
RPS2P55,3.386149,3.34975,7.870461,7.8894
C1orf116,10.106031,10.5459,14.002535,14.0654
CCL18,1.937351,1.585,6.430865,6.4429
ELAVL2,2.354595,2.3219,6.556556,6.7415
HNRNPCP2,4.440544,4.30995,8.74044,8.7911
RP1-142L7.9,3.889176,3.9069,0.90875,1.0
SPRR3,5.202121,5.39195,0.799303,0.0
RP11-5P18.5,1.570961,1.41925,4.57151,4.281
CELA3B,4.06934,4.44115,0.587084,0.0
PCDHGB1,4.524127,4.66705,7.779788,8.1006
MUC4,10.50745,10.85665,7.83401,7.8765
MMP9,4.575635,4.4594,8.597286,8.717
MYO15B,13.141616,13.20455,10.533307,10.6119
NTRK3,9.795906,9.783,7.149087,7.2946
GPX3,13.730043,13.6377,11.350728,11.461
SAP25,7.112516,7.0652,3.638211,3.5236
SEZ6L2,9.045978,9.44345,12.729091,12.8622
RRN3P1,9.163901,9.2164,6.496683,6.609
CSNK2B-LY6G5B-1181,8.789216,8.80065,6.101321,6.1815
RP11-35N6.1,1.737699,2.0,5.622374,5.6147
RP11-544M22.13,1.764903,1.57095,5.474533,5.5838
RP11-414J4.2,11.815946,12.52185,9.194942,9.4139
GJB1,6.791053,7.1394,11.882214,12.1586
IKBKGP1,1.854811,0.0,5.143587,5.6302
MIR4697HG,10.322157,10.3542,7.982892,8.1599
RP11-158I9.5,5.772914,5.7814,2.263996,2.3219
RP11-579D7.2,1.551052,0.0,5.482915,6.2242
RP11-394O4.5,13.628254,13.63005,9.092996,9.2143
HMGN1P36,0.215157,0.0,3.250383,3.3909
KRT16P6,6.847596,6.9748,2.834541,2.8115
ABCC4,10.473893,10.57685,14.616946,14.7055
RPS28P7,7.957861,7.9753,11.583753,11.6091
PRSS1,5.84442,6.4346,0.573003,0.0
MTRNR2L12,1.8192,2.0,5.108563,5.0281
SEPT3,5.184227,5.30365,8.490613,8.4838
