Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
KRT222,8.493337,8.9425,6.040419,6.1085
LINC00928,1.435175,1.585,5.167106,5.4263
VSIG4,6.495965,6.375,11.018532,11.115
SPC25,3.04879,3.1699,7.201275,7.3129
MAGED4,8.443378,8.7045,12.869266,12.9153
CBLN3,7.957301,6.8826,5.490966,5.4594
ZNF560,1.231227,1.0,5.230498,5.3576
NNAT,10.982681,11.0188,8.927925,9.0389
MEG3,14.314471,14.6128,11.403473,11.6591
CYP4F35P,5.930093,6.3122,2.956576,3.0
RP11-361L15.5,8.201826,8.3335,4.604426,4.6747
KIF20A,1.550364,1.585,6.560123,6.6865
FOXD3-AS1,0.507038,0.0,4.479875,4.9069
FAM153C,7.809307,8.1462,3.017318,2.8298
GP1BB,8.393719,9.8004,5.445804,7.4301
MCM10,1.964537,2.0,6.541231,6.7415
CCL3,3.805468,3.585,9.272691,9.3083
TNFRSF25,10.073269,9.7634,7.564442,7.5697
LPAR3,5.261579,5.5546,2.035102,1.585
SULT4A1,11.16317,11.6296,9.204725,9.3399
ESPL1,2.91819,2.8074,6.977944,7.098
LINC00237,3.889459,4.0875,7.76491,7.9887
SLC7A10,8.039629,8.3867,5.068908,4.915
GAD2,9.965188,10.3061,7.970197,8.0224
MAL2,9.460191,10.0566,7.122053,7.0
RP11-429A20.4,5.022908,5.3219,1.852378,2.0
OTX2,3.810069,2.585,0.517871,0.0
STRC,8.770912,8.75,6.34666,6.2867
GH1,3.122043,2.8074,0.235649,0.0
KIF18B,3.48518,3.585,8.293106,8.4429
KIF14,2.530857,2.585,6.587881,6.5078
CHST9,5.628396,5.6439,10.707008,11.0573
RP11-474G23.2,1.205766,0.0,5.180975,6.2718
GJB6,9.377811,9.9643,6.509909,6.9307
BHLHE22,7.65597,7.4998,4.709453,4.585
KIF12,5.65775,6.0224,2.869198,2.585
RBFOX1,10.942027,11.4262,8.83903,8.6439
SHD,7.190891,7.2288,11.939428,12.4582
NGB,7.660276,7.2761,4.88877,4.5236
AC113188.2,7.035619,7.1581,4.657932,4.7355
CDC45,2.228809,2.3219,6.458615,6.4594
CPLX2,13.883656,14.3582,12.174877,12.6025
BCAN,12.343912,12.5745,17.272796,17.5656
BIRC5,3.576871,3.4594,8.151667,8.1699
RP5-827C21.6,5.845318,6.0875,2.21307,2.0
LINC01123,7.960205,8.281,5.726448,5.8763
C1QC,8.266452,8.2192,12.631496,12.6043
CDR1-AS,9.700981,10.1849,7.702001,8.0401
RP11-424C20.2,1.578901,1.6088,6.847058,7.0007
CTC-512J14.5,1.129748,1.0976,5.226668,5.2961
CX3CR1,6.983721,7.1293,11.228635,11.3647
SYT2,8.563665,8.8118,5.84058,5.5975
CYP2C8,6.297573,6.4594,3.416626,3.4594
RP11-344B5.2,1.598541,1.585,5.14292,5.1293
FOLR2,5.403696,5.6724,9.894875,9.9263
LINC00836,3.962549,3.9069,8.242017,8.7177
MEX3A,6.104519,6.1497,11.036376,11.258
CTD-2531D15.5,5.786988,6.6643,2.952295,0.0
LINC00202-1,7.417308,7.5999,4.665036,4.7004
RFPL2,6.584997,6.9115,3.821039,3.921252
ASF1B,2.715259,2.8074,7.293527,7.1898
DLL3,7.387561,7.6795,12.821092,13.3622
CNGA3,3.769756,3.585,8.148889,7.983
PCDHB9,5.792941,5.8909,10.077392,10.2216
APOBEC3B,1.72502,1.7655,5.716172,5.8048
RP11-565P22.6,0.999268,1.0566,5.134812,5.3331
HAPLN1,5.356286,5.585,9.786038,10.102
GLYCTK-AS1,1.616747,1.585,5.621846,5.8795
NES,10.265744,10.2761,14.631909,14.7279
LINC01602,0.346101,0.0,4.37685,3.585
SGOL1,1.402004,1.585,5.629687,5.5871
SELL,6.159149,6.1085,10.83675,10.8727
RP4-791C19.1,0.413866,0.0,3.911508,4.0144
CCL4,3.923805,3.7004,8.815312,8.7001
ANKRD34B,4.986857,4.4594,2.184745,2.0
SLC8A1-AS1,1.879266,1.585,6.44172,6.788
KLHL1,5.979598,5.9255,3.27696,3.1699
RP11-173P15.5,0.743627,0.0,4.893658,5.9105
CTA-315H11.2,3.514529,3.585,0.666032,0.0
MT-TC,0.27111,0.0,3.753525,3.8074
ANKRD30B,4.58847,5.3219,1.903334,1.585
ANKRD19P,8.532096,8.9081,5.850763,5.8176
RPS2P55,1.772428,1.856,6.41895,6.4216
CHAD,7.882304,7.8392,4.516428,4.2479
TLX1,0.199674,0.0,5.660861,6.2079
HAS2,4.058173,4.1699,7.970674,8.2057
RP4-789D17.3,7.04335,7.8608,2.792799,0.0
SIX3,6.090871,5.1699,2.392218,2.0
MAP7D2,9.987611,10.3955,7.711783,7.6294
HNRNPCP2,4.172779,4.1961,8.976414,8.9967
TMEM191A,7.075652,7.1822,4.566207,4.5273
SPRR3,3.293335,4.0875,0.426007,0.0
SIX1,3.258934,3.3219,7.883077,8.4179
CYP4F29P,6.118959,5.9561,2.726403,2.3448
AURKB,1.261572,1.0,6.561204,6.6294
RNF212,6.999453,6.9658,4.226054,4.2479
TMEM100,6.875198,7.1293,11.666236,12.0711
GPR34,5.91171,6.0,10.385869,10.4357
HTR5A,7.543605,7.9932,5.043045,4.9732
CLEC4F,1.988336,2.0,5.648662,5.9069
EGFR,9.555018,9.7142,14.12645,14.2104
RP11-414J4.2,5.318646,4.477,1.91401,2.0321
CD24,7.527356,7.7814,12.204628,12.5727
SFTPB,4.058391,4.0875,1.322588,1.0
NDST4,1.269425,1.0,4.832313,5.2095
CD44,8.650416,8.3038,12.943379,13.0841
BUB1B,3.531458,3.5922,7.360997,7.42
TREM2,6.390123,6.4757,10.719281,10.7756
DNAJA4,11.851012,11.8959,9.86147,9.8218
FAT2,7.188263,5.5546,4.722409,4.7317
PRSS1,3.162216,2.8074,0.306854,0.0
PCP4L1,9.072269,9.0848,6.991599,6.960032
TNN,2.349857,2.3219,6.096342,6.1085
