Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
HS3ST4,8.481732,8.6257,5.27131,5.4594
BSPRY,7.291707,7.0334,3.997055,3.9069
RP11-424C20.2,1.578901,1.6088,6.408219,6.81725
CX3CR1,6.983721,7.1293,10.900974,11.0654
CDR1-AS,9.700981,10.1849,4.568655,4.4594
OIP5,2.54804,2.6938,7.351342,7.5316
C1QC,8.266452,8.2192,13.420789,13.4646
HOXA6,0.372213,0.0,4.705836,4.86595
FAM20A,4.906767,4.858,8.556197,8.5156
CCR5,3.472718,3.3219,7.587889,7.7813
SYT2,8.563665,8.8118,4.522028,4.35225
CYP2C8,6.297573,6.4594,3.230358,3.1699
RP11-344B5.2,1.598541,1.585,5.04837,5.1293
FOLR2,5.403696,5.6724,9.445993,9.49085
AC005786.7,5.378523,5.86,1.198094,0.0
CD74,11.511777,11.3701,15.900224,15.9847
MT-RNR1,18.164474,18.4391,15.528066,15.57145
WISP1,3.121439,3.1699,8.110435,7.96545
RBM47,4.794285,4.7004,8.876832,9.0154
AP002518.1,0.214022,0.0,3.527202,3.5459
COL1A1,7.441785,7.2574,12.657158,12.52345
SIGLEC14,3.821443,3.9059,7.710796,8.00695
C15orf48,1.78117,1.585,5.841576,6.0661
CENPM,3.647608,3.7004,8.141221,8.1948
CACNA1A,11.490818,11.2796,8.599574,8.76635
CD84,5.758802,5.8074,9.52159,9.56125
MEX3A,6.104519,6.1497,10.10727,10.30495
LILRB4,6.233049,6.3038,10.489708,10.53715
LINC00202-1,7.417308,7.5999,3.275114,3.3219
LINC01198,0.900568,0.0,4.664184,4.6669
ADAMDEC1,0.622365,0.0,6.302424,6.1598
RFPL2,6.584997,6.9115,2.903899,2.99
ERCC6L,2.584995,2.585,6.634674,6.6724
ASF1B,2.715259,2.8074,9.508126,9.65285
CPNE9,7.614281,7.4263,4.521111,4.5236
CA11,12.924611,13.2688,10.316156,10.2577
SYN1,12.151836,12.5689,9.544119,9.62295
HIST1H4J,2.776408,2.8217,6.782028,6.8138
VSNL1,12.007257,12.6018,8.525705,8.7781
CAMSAP3,9.183018,9.3966,6.502976,6.6653
CNGA3,3.769756,3.585,9.338478,9.8023
GPR22,7.187719,7.4429,3.978137,3.9069
SYNGR3,10.856129,11.3032,7.645882,7.8329
SRPX,7.065822,7.0224,11.389015,11.29605
APOBEC3B,1.72502,1.7655,7.421487,7.48205
RIMS2,10.544794,10.8424,6.087936,6.2571
HOXA9,0.816272,1.0,4.720706,4.1287
GABRG1,10.291408,10.5594,5.600936,5.44285
KIF15,5.181602,5.2854,8.940946,9.15735
EIF4A1P10,2.534217,2.5969,6.086965,6.15715
KNDC1,11.508944,11.7574,8.914157,9.02235
CDCP1,4.413594,4.585,8.305411,8.2455
RP11-565P22.6,0.999268,1.0566,4.660248,4.79335
ADGRE1,1.839544,1.585,6.485068,6.5849
PEX5L,10.177366,10.4252,7.657751,7.65815
HTR2C,6.784872,6.8455,2.429141,2.0
HLA-DRB5,5.927179,5.8726,10.172914,10.14335
HOXD9,0.580684,0.0,6.509342,7.04985
LCNL1,9.740558,9.829,5.864829,5.9307
IL2RA,0.885096,0.0,6.019748,5.8703
EPHA8,5.574355,5.9069,2.426685,2.3219
CCL20,1.556555,1.0,4.939008,4.67215
NES,10.265744,10.2761,14.518151,14.6561
ABCA13,2.361262,2.3219,5.719954,5.76815
TRDC,2.186522,2.3219,6.013059,5.5149
SGOL1,1.402004,1.585,7.596755,7.8268
RP11-809C18.3,7.088881,7.3576,4.148246,4.1287
HOXC10,0.877284,1.0,6.982751,7.95685
FLG2,3.461714,3.585,0.345748,0.0
TNFRSF12A,5.569207,5.2854,11.084796,11.27115
RP11-314B1.2,6.921962,7.2946,3.724926,3.8074
TLR8,2.622821,2.585,6.725446,6.9425
