Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
RP11-244M2.1,0.511676,0.0,4.414244,4.9542
RP11-64K7.1,0.313962,0.0,4.006742,4.0925
NPTX2,10.676436,10.7838,14.968532,15.8007
GRB14,9.764353,9.95855,6.661591,7.3399
PAK3,6.794795,6.7415,3.655512,3.585
PHYHD1,9.18177,9.3332,6.108238,5.6439
RP11-356I2.1,1.775317,1.0,5.815056,6.375
HSD3BP2,8.074544,8.1799,4.519988,4.7549
LLNLR-284B4.1,1.327965,0.0,6.367848,7.4429
EEF1A1P9,2.80284,2.8156,6.254284,6.5294
RP11-108M9.3,5.99221,6.0608,2.458579,2.0
ALDH1A3,9.438735,9.61345,6.364599,6.1189
HMGN1P37,0.227475,0.0,3.138286,3.2585
BTBD11,5.029244,4.9771,8.145135,8.5078
TCEAL2,6.185337,5.8703,2.382488,1.0
CCNB2,4.917703,4.9771,7.968264,7.8642
NTRK1,5.573756,5.1496,2.243303,1.585
RP11-215A21.2,1.52772,1.5969,5.60929,5.7442
CDK1,5.841297,5.9421,9.451945,9.716
PVALB,2.187221,2.3219,5.796275,5.8074
NKD2,7.999385,8.1111,4.050081,4.0
RP11-206L10.3,7.48949,7.6729,4.203279,4.4594
CYP4B1,7.017209,6.9829,2.777382,2.3219
PMAIP1,3.423326,3.1699,7.175673,6.9773
MYH6,4.760894,5.1145,1.500313,0.0
RPL37P6,0.354402,0.0,4.216478,4.1763
KIAA0101,4.76911,4.80685,8.242817,8.2384
RP1-241P17.4,2.316679,2.51095,6.111156,6.7068
NEAT1,16.231975,16.2688,13.460536,13.3074
RP11-162P23.2,5.724556,7.055,1.930674,1.9523
REG1A,5.374629,6.0,1.155922,0.0
LINC00511,1.681063,1.585,4.683078,3.9069
CKAP2L,3.857375,4.0,6.854317,6.9337
YWHAZP5,1.850401,2.0036,4.838982,5.2067
RP11-70C1.3,4.679376,5.9869,1.182864,0.0
IGFBP5,14.438497,14.5229,11.640003,11.6591
KRT5,6.10544,6.21915,1.135849,0.0
THSD7B,2.286649,2.3219,5.867191,5.7279
PAPLN,9.018682,9.07935,5.970858,5.5236
