Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
CDKN2B-AS1,1.113472,1.0,4.321116,4.5478
HLA-DPB2,0.434219,0.0,3.57332,3.7442
CH507-396I9.6,4.094866,4.1667,1.212265,0.275
ABCA9,9.381141,9.61565,7.238412,7.4594
HMMR,4.508076,4.2849,8.116659,8.2946
HSPB1P1,0.379675,0.0,4.284557,4.3262
USP43,8.154378,8.0768,5.868053,6.2854
GPR158,2.039111,2.0,5.719112,6.7549
TROAP,4.473665,4.1699,7.973801,8.1849
ZIC2,1.077116,1.0,6.44448,7.4676
HAND2-AS1,7.988969,8.0978,3.293777,3.247935
PLVAP,7.270473,7.19475,11.924197,11.9968
HGF,9.607957,9.64925,7.097272,7.098
KCNN2,7.349994,7.62085,4.580829,4.1699
FAM99B,6.887635,6.94985,3.485616,3.332
MAGEC2,0.206864,0.0,3.869546,2.3219
AIM1L,2.732985,2.3219,6.334199,6.2854
E2F7,2.299457,2.0,5.45504,5.4263
CYP11B1,3.5726,3.9069,0.139353,0.0
HLA-DQB2,2.244632,2.31755,5.557168,5.5789
CDKN3,3.426548,3.08495,8.062616,8.2574
ATP6V0D2,0.646005,0.0,3.890139,3.8074
BCO2,10.291435,10.2518,6.657246,6.8746
PTTG1,4.041303,3.7004,8.95412,9.137
UBE2SP2,0.644462,0.0,5.762601,5.7629
AC104809.4,5.766903,5.9292,2.943438,2.3219
MTUS2,5.71734,6.0,2.517302,2.0
ACAN,1.443908,1.585,4.734004,4.8074
MAGEA6,0.133631,0.0,3.555536,1.0
OLFML2B,4.141251,3.9069,8.151703,8.2384
SNX29P2,7.390705,7.55135,4.253109,4.4867
NXF3,5.744487,5.6864,1.913611,1.585
KBTBD11,9.146168,9.1267,6.452328,6.375
CPS1-IT1,5.376593,5.44285,2.336231,2.3219
KRT2,4.35386,4.7539,0.416452,0.0
CYP2C19,8.528014,8.54255,4.710964,4.8263
TRPV6,6.421607,6.2376,2.826516,2.0
LIPF,4.654543,4.88245,0.090559,0.0
STC2,4.347153,3.7004,8.065809,7.8265
FENDRR,5.433899,5.50775,2.037937,2.0
AKR1C8P,7.140219,7.2992,4.105067,4.3219
KIF23,3.854472,3.585,7.553262,7.5314
