Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
CTD-2297D10.2,4.982496,5.50775,1.758093,1.585
IGHV3-23,3.613793,3.08495,7.605814,7.5157
ITGA4,5.955882,5.7608,10.319001,10.6138
IL11,5.096629,5.63925,2.251622,2.0
CYP2J2,5.165432,5.4263,11.867517,12.6823
KISS1R,2.603582,2.3219,7.284112,8.0607
CD84,5.514971,5.90445,10.316827,10.4666
LINC01415,1.260111,1.0,4.864619,5.0
FRMD7,5.045207,5.53705,0.986969,0.0
RP11-445F12.1,7.600914,8.12905,2.212363,1.0
LILRB4,5.650846,5.98865,9.886128,9.9521
ADAMDEC1,1.845564,1.0,6.996658,7.0875
OSTM1-AS1,0.0,0.0,6.503317,7.1085
LINC00887,3.498271,3.585,10.079947,10.651
TIGIT,3.226171,2.8074,7.837897,7.96
CYP2B6,6.80275,6.8392,2.334458,1.8115
PLIN2,10.961493,11.54995,15.261595,15.5319
CCBE1,7.120211,7.49965,4.436404,4.0875
AHNAK2,7.294039,7.12295,12.520379,12.7676
SLC17A4,5.595539,6.37935,9.879933,10.8082
PRSS45,5.204629,5.3648,2.816502,2.8197
PLG,8.907179,9.54995,6.519958,5.5236
ELOVL2,3.051,3.1699,7.294076,7.4263
FLRT1,6.188239,6.4567,3.540698,3.4738
IKZF1,6.166364,6.14615,10.176281,10.3998
HRG,7.007796,7.54075,2.022853,1.585
TMEM207,4.953514,4.858,0.501608,0.0
IGKV1D-39,4.425379,3.5222,8.2967,8.1242
PRRG2,7.767568,8.1521,5.543652,5.3576
IGHV3-7,2.509754,1.60645,5.909549,5.8696
TMEM92,2.465957,2.56465,7.375251,8.2288
ADGRE1,2.579557,2.7925,7.155851,7.2095
PTHLH,3.013939,2.91185,8.952746,8.5117
HAPLN1,1.631829,0.5,9.095434,9.3815
PLA2G3,3.290457,3.3219,0.469326,0.0
COL7A1,10.378275,10.82095,7.158744,6.9887
PIK3C2G,6.449582,6.9538,1.462297,1.0
LCNL1,6.431007,7.0502,2.268708,2.3219
ZNF683,2.411182,1.585,6.444908,6.5078
CLPS,4.259232,4.97565,0.111427,0.0
LINC01094,3.190761,3.585,7.878923,7.9773
SLC29A2,8.635989,8.93675,6.285531,6.1825
MARCH4,1.662064,1.585,5.797172,6.0224
GPC3,9.633986,10.0934,7.761984,7.7415
RP11-91K9.1,2.553057,2.9037,7.20245,7.3923
PRND,1.466475,1.0,6.555324,6.5236
CDKN2A,2.556893,2.45345,7.996924,8.1311
TRDC,2.715554,2.5667,6.791585,6.9052
LINC00462,0.532389,0.0,7.889366,8.4051
PRR15,8.255986,8.817,5.424754,5.2479
TRBV29-1,1.222289,0.5,4.460297,4.5236
IKZF3,5.071643,5.1886,9.362105,9.4979
TLR8,3.528375,3.4594,8.07802,8.3399
COL8A1,7.988561,8.1593,12.153956,12.3969
SFTA1P,0.485179,0.0,5.332639,5.4263
HIGD1B,4.028407,4.04375,7.582191,7.6472
WT1-AS,5.589343,6.56805,2.471817,2.0286
TARID,7.322161,7.67935,3.661465,3.7845
RP11-807H17.1,4.021329,4.2047,8.995734,9.7566
COX4I2,4.7433,4.7925,8.657683,8.7781
CTD-2342N23.1,5.808111,6.3917,1.388197,1.0
BCL11B,4.646886,4.58375,8.235924,8.3576
RBM11,5.758496,6.1079,3.326819,3.0
ACOT12,4.4097,4.5384,1.247833,1.0
C10orf99,2.056021,1.7925,6.068681,5.9542
CD8B,3.980486,3.50025,8.077266,8.097
AC144530.1,1.096404,1.0072,6.497502,6.4915
SORCS1,6.382532,6.6832,3.985963,3.4594
OXGR1,5.480243,5.76325,2.73141,2.585
CELA2A,3.473593,3.44495,0.374723,0.0
CLCNKB,12.047036,12.6429,5.635633,5.1953
PWRN1,5.528571,5.9188,1.359496,1.0
KNG1,10.956018,12.1231,3.63211,3.0
KCTD8,4.277832,4.5236,1.417592,1.0
RP11-834C11.5,3.754186,3.80985,1.2106,1.0772
NKD1,7.364646,7.69695,5.112416,5.0444
CD2,4.647771,4.39395,9.767809,9.9069
CHMP1B2P,5.918671,6.2737,3.15933,3.1699
GABRD,3.303718,3.5222,9.228937,9.5118
ABCA12,2.861325,3.16095,8.025321,8.3309
IGLV1-47,3.110625,1.78435,6.672516,6.5276
ANKRD34B,4.441457,4.9037,1.389762,1.0
CTSLP1,4.599282,5.2086,0.64646,0.0
SLC2A5,7.366286,7.96275,11.909656,12.3236
LCN2,7.017089,7.7014,4.035377,3.7004
