Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
SERPINA1,9.388316,9.3376,15.595934,16.61315
EPPIN,4.82418,4.9069,1.65558,1.0
ADAM1A,4.938292,5.5144,0.551733,0.0
CLDN9,3.873597,3.8074,8.780701,9.2703
ZMAT4,8.395403,8.5999,5.382628,5.06465
PIWIL1,3.28377,3.3219,7.593083,7.8517
RP11-40C6.2,0.557358,0.0,9.207814,9.2428
PNPLA5,0.173735,0.0,4.890483,6.0
LAMB3,6.266654,6.2288,12.262171,13.1868
HLA-G,3.625485,3.5886,7.840185,7.85325
KLHDC7B,3.173943,2.8074,7.710505,7.81695
DIRAS3,6.305896,6.3038,10.092577,10.56845
AC008132.15,1.223858,1.0,5.19652,5.5532
TLR7,3.374028,3.4594,6.66355,6.6724
ANGPTL7,4.214711,4.0875,1.283395,1.0
LAD1,7.037582,7.0768,11.103951,11.32305
FXYD1,8.223533,8.2527,5.738979,6.1699
NPIPA2,5.233792,5.4825,2.124461,2.2719
SCG5,6.839884,6.8074,10.855399,11.1724
AC078899.3,5.949596,6.0444,2.449904,2.3219
UHRF1,4.344194,4.2357,7.940079,8.1084
RP11-424G14.1,4.793018,7.2095,1.83761,0.0
AP000349.2,1.182373,0.4222,4.694203,4.93735
DUSP6,10.273364,10.3151,14.510752,14.8443
HMGA2,3.632275,3.585,10.437066,11.1721
CDH3,6.64219,6.5392,12.176005,12.7465
PGC,4.049365,4.1699,0.426036,0.0
HPCAL4,3.360187,3.3219,8.786278,9.1098
CCR6,2.819188,3.0391,6.468526,6.72775
PI16,9.106575,9.1137,6.396708,6.2761
IDO2,6.751074,6.7549,2.791525,2.8074
MASP1,7.854115,7.9189,3.725826,3.7004
TMPRSS11E,0.918028,1.0,4.914258,5.2095
MUC21,2.358599,2.585,7.899115,8.7279
CXCL17,3.536421,3.3219,8.082554,8.77645
CTD-3060P21.1,1.375522,1.585,4.454963,4.585
CTC-429P9.4,2.186843,1.7137,5.939547,6.7916
CEACAM6,3.028295,3.0,7.057089,7.55075
ETV4,7.13195,7.2192,11.09492,11.4414
PRELP,12.590075,12.7211,9.63898,9.8455
RP11-615I2.2,2.310678,2.3219,5.824155,6.1103
CD1E,2.027953,1.585,5.891201,6.2093
TFF1,3.58782,3.7004,0.633053,0.0
KCNN4,5.886417,5.8329,10.111113,11.1283
IGSF1,7.821867,7.8455,13.23355,13.98515
RP11-542B15.1,1.276213,1.0,5.20421,5.59925
KLK11,2.649078,2.585,7.056728,7.65105
NMU,2.548669,2.0,7.530362,7.6292
GRIA1,4.798356,4.9069,0.859924,0.0
PLA2G2D,1.288975,0.0,4.713082,4.4594
FGF7,10.356894,10.3909,7.665366,7.55475
RASGRF1,2.893957,3.0,8.137317,8.9998
CPA1,4.360831,4.6439,0.757826,0.0
ARHGAP36,1.462351,1.0,9.736429,11.1075
FAM180B,5.920917,5.9307,2.903737,2.585
ABCA6,9.871577,10.0634,6.454479,6.4594
GABRG3,2.2723,2.3219,6.611243,7.01595
TNFSF11,1.155348,1.0,4.300554,4.585
ACTA2-AS1,7.316857,7.2483,4.616599,4.63515
GSDMA,2.198051,2.0,5.521084,5.7004
WNT11,9.019947,9.1985,5.553503,5.4594
RP5-1024C24.1,4.856901,5.0,1.961313,1.0
CD36,12.048126,12.1561,9.885374,9.9285
EEF1A1P12,2.846061,3.0108,7.445867,7.51935
UBE2C,3.422024,3.4594,6.712563,6.7549
PLA2G2A,9.82663,9.9687,5.214565,5.0222
CLDN2,3.429492,3.4316,8.109754,8.4014
HSD17B3,7.568975,7.6439,4.050694,4.0875
XIRP2,3.630548,3.585,0.462278,0.0
SOX11,1.496635,1.0,4.935772,5.2095
RP11-326C3.2,8.677686,8.7039,5.579495,5.7004
VTCN1,1.105828,1.0,5.553045,5.47565
RP11-33O4.2,6.745719,6.7852,4.01723,4.1562
DNAAF1,9.122512,9.236,6.636978,6.4929
KLK6,1.124432,1.0,5.281957,5.82015
MFAP5,8.713449,8.7515,6.301782,6.3399
SYTL5,3.508124,3.4594,9.170314,10.30835
REN,0.833329,1.0,5.700457,5.96575
RP11-588H23.3,7.164229,7.1444,4.431524,4.53045
BRINP3,6.192916,6.2854,3.517134,3.8074
CTD-2545M3.8,8.485171,8.5335,4.960883,4.77795
MELK,2.832042,2.8074,6.151187,6.3309
RP11-73M18.2,0.864766,0.0,8.292926,8.9496
XKRX,4.475339,4.2479,8.224815,8.5831
ACP5,6.737293,6.6439,10.418417,10.73725
C19orf33,6.566182,6.6434,10.231486,10.6633
RP11-204C16.4,1.51107,1.5993,5.080675,5.3154
CHRD,9.765573,9.8811,7.183873,7.25265
TUSC5,5.102146,5.1293,1.508237,1.585
CTC-518P12.6,0.953828,0.0,4.748335,4.5841
AC011298.2,6.75267,6.9542,2.642883,2.0
LIPH,3.388352,3.3219,11.077532,11.8815
SLIT1,4.456097,4.5236,10.592732,10.93945
CNR1,8.551718,8.8041,5.843628,5.8329
ABCC6P1,3.733392,3.7856,7.546761,7.78615
SERPINA5,7.134727,7.2288,3.034755,2.8074
CTC-366B18.2,0.36656,0.0,3.879028,4.25965
HLA-DPB2,0.783152,0.0,4.3143,4.42185
GOLT1A,3.50885,3.4594,8.850955,9.27725
ABCA9,10.374292,10.5343,5.59598,5.6147
GAS1,9.576566,9.6865,7.270215,7.1997
LRP4,8.611491,8.6317,13.109263,13.38975
HSPB1P1,0.684937,0.0,4.31838,4.39335
DCHS2,3.366762,3.4738,6.643712,6.76845
MYL1,3.441946,3.4594,0.240666,0.0
RP1-79C4.4,4.797674,4.8074,1.839841,1.585
RP11-649E7.5,3.675114,4.4581,8.428624,9.4383
HAND2-AS1,7.144991,7.2805,3.288125,3.3481
FUT3,1.53385,1.585,5.113334,5.36125
ABCA8,11.12134,11.2252,9.012293,9.10585
EPHA10,3.876709,4.0,8.224549,8.8719
KLHDC8A,4.906406,4.7549,10.85557,11.1443
ALK,2.669124,2.8074,6.831573,6.85175
RDM1,0.849885,1.0,3.904075,3.9069
GALNT5,2.833123,2.8074,6.577584,6.8138
GABBR2,7.219183,7.4594,11.151527,11.395
RP5-875H18.9,1.637947,1.585,4.897431,5.0875
YJEFN3,9.80855,9.7603,6.891207,6.94905
RP11-498C9.3,1.721663,0.6323,5.347989,6.0108
HCN4,1.357915,1.0,7.377445,7.9542
RP11-286H15.1,7.208271,7.3663,3.893116,4.0
GAP43,2.698209,2.585,6.604587,7.06605
FBLN1,13.116972,13.2117,10.394143,10.3146
HLA-DQB2,4.420939,4.5699,9.113704,9.3357
RYR1,6.890591,6.8826,10.560485,11.0293
SERPINA3,9.910627,10.1784,4.585455,5.37965
ATP6V0D2,1.990666,2.0,5.322131,5.6724
LENG8,14.845704,14.9504,13.073524,13.1466
ANKRD20A8P,6.212986,6.321,2.875565,2.774
RIMBP3C,2.127094,2.5361,6.608213,6.90395
AOX1,10.647096,10.6689,6.574223,6.4838
ASIC3,7.609073,7.6221,4.701472,4.6439
RP11-416I2.1,0.375878,0.0,4.066522,5.0444
RP11-96D1.8,7.840167,7.9403,4.984546,5.09655
UBE2SP2,0.8101,0.0,4.868862,5.0693
C1R,13.539446,13.6226,11.572666,11.64745
CHRDL1,11.133265,11.2685,6.736413,6.85175
CATSPER1,1.896299,2.0,6.231404,6.858
