Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
KRT2,4.127719,4.5236,1.955969,2.0
TRPV6,11.901209,12.0262,9.292729,9.7764
LIPF,4.778322,5.5546,0.99354,0.0
TNFRSF6B,4.529657,5.2307,9.785557,10.0375
IGKV3D-15,0.184901,0.0,3.899577,4.0505
RP5-944M2.3,4.18765,4.1699,1.042242,1.0
CTSLP2,5.158972,5.1699,2.932929,3.0
DPCR1,2.644773,2.3219,11.188032,12.2682
TNFSF18,0.728393,0.0,4.866242,4.9069
GREM1,6.652834,6.7415,12.274701,12.4645
VSIG1,2.05634,1.585,9.468782,10.102
MIR217HG,7.00079,7.2384,1.741556,1.0
SDR16C5,2.563788,2.585,9.753623,10.2574
PRODH2,6.607002,6.6147,2.121823,2.0
IGKV1-16,1.401861,1.0,6.703989,6.9129
SH2D1A,1.835097,2.0,6.16386,6.1497
GJC3,6.690137,6.8451,3.975815,3.8953
PNLIPRP1,16.899494,17.224,7.295461,7.5078
HOXA10,1.380352,1.585,7.017536,7.4594
OAS1,6.068692,6.0444,11.346999,11.4073
RP11-757F18.5,8.050382,8.1548,6.460639,6.6294
KIRREL2,11.067935,11.1892,7.128775,7.3038
RP11-146D12.2,5.653668,5.8097,3.934612,4.0312
CTRB2,19.274051,19.4799,10.722991,11.2324
FEZF1-AS1,0.633312,0.0,5.419131,5.957
PWRN2,2.647671,2.8074,0.174564,0.0
TTN,10.008204,10.0836,8.031304,7.9503
ITGB4,9.461013,9.5157,14.098959,14.3643
CELA2B,14.442254,14.8691,6.637873,5.7605
TNC,6.603934,6.5392,11.783426,11.8986
KLK1,14.991917,15.3266,9.587035,9.3772
CGB5,0.062354,0.0,6.385269,6.6952
THY1,8.202648,8.0701,13.397088,13.538
RP11-64K7.1,0.089993,0.0,3.855284,3.9126
MYH1,3.893297,4.228,1.747679,1.585
CDH17,3.184501,3.0,9.802368,9.8688
HOXB7,3.843606,3.9069,9.088958,9.5488
MBOAT2,6.503156,6.5999,11.433255,11.4778
TFF2,3.628952,3.3219,10.982436,11.3371
AC093642.3,8.31962,8.5078,4.629651,4.585
GRB14,8.774719,8.8978,7.091937,7.2192
PAK3,10.355398,10.5226,8.178178,8.3966
AFAP1-AS1,2.402859,2.3248,9.400251,10.1632
SNCAIP,2.865277,2.8074,7.524915,7.5392
IGHV4-59,1.848471,1.585,7.744769,7.6212
RP11-709P2.1,2.915769,3.0,0.511183,0.0
EPHX4,0.911129,1.0,6.746988,6.8826
SPACA3,5.507969,5.7004,2.483756,2.3219
LINC00940,4.847434,5.0444,1.978825,2.0
AC092535.3,4.614277,4.7549,1.680855,1.585
ADGRE3,0.484664,0.0,4.241872,4.4594
TINAG,0.11479,0.0,4.796387,5.2854
HCAR2,1.70281,1.585,5.782405,5.847
RP3-395M20.9,1.027906,1.0,5.237679,5.4263
RP11-108M9.3,5.862813,5.9855,3.859065,3.6938
HMGN1P37,0.116393,0.0,4.248697,4.4094
ALPPL2,0.108802,0.0,4.365815,4.3561
