Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
CTC-260E6.3,2.630004,2.8074,4.992079,5.0875
DPY19L2P4,8.773021,9.1976,2.621219,2.5969
PPIAP22,7.317854,7.246,11.586085,11.54705
SFTPC,5.912125,6.1497,0.649801,0.0
IGKV1-8,1.392495,1.257,8.121627,8.6184
NPIPB7,9.53061,9.9483,4.134986,4.272
RPL24P4,4.23183,4.0917,7.055284,7.04235
DHH,9.693541,9.8304,3.330541,3.0213
RP11-216L13.19,10.069368,10.1726,6.740488,6.65785
AC004221.2,6.387822,6.6147,1.160282,1.0
RP11-314A20.1,2.902599,3.0,4.479692,4.47575
PRDM14,4.334991,4.5236,9.597597,10.7236
RBM44,9.877709,10.0526,4.392335,4.2089
RP3-468B3.2,10.120681,10.7731,2.896914,3.0
LINC01015,9.615697,10.2538,0.358625,0.0
CD200R1L,5.962768,6.6147,0.312433,0.0
GALNT6,5.936992,6.0,11.085288,11.26495
LINC01168,6.762203,7.0112,1.400897,1.0
DNAJC5B,10.250428,11.0217,5.479956,5.4093
IGKC,6.816518,6.3116,15.826925,16.2908
RP11-497K21.1,4.06066,4.4594,0.019481,0.0
RPS7P3,1.990232,2.0,3.599756,3.66835
GAPT,3.819135,3.9069,5.578833,5.6147
RP11-150O12.5,6.575449,6.9069,1.030396,1.0
RP11-388E23.2,4.656137,5.1293,0.025974,0.0
KHDC3L,3.11956,3.1699,11.335843,12.9764
AC011196.3,4.791922,5.3219,0.11248,0.0
GPRIN3,6.485936,6.3923,8.900442,9.08215
CH507-528H12.1,4.583612,4.4263,9.105242,8.94615
SNHG16,9.205635,9.1353,12.993561,13.0445
GSG1,12.939113,13.7821,5.034382,4.4594
NFE2L3,7.659194,7.6366,12.597929,12.9551
CFAP58,9.238602,9.5157,5.218792,5.26665
LINC01445,4.534028,5.0444,0.053052,0.0
TNFRSF18,4.143592,4.0875,7.28781,7.4918
EPHA6,8.976122,9.5353,3.857946,4.0875
